,"Sport catch of Coho Salmon in Oregon streams and rivers, 2008-2020",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
63,,,,,,,,,,,,,,,63.0,E FK MILLICOMA,-,-,-,-,-,-,5,18,-,-,-,-
64,,,,,,,,,,,,,,,64.0,W FK MILLICOMA,-,-,-,-,-,-,10,6,-,-,-,-
65,,,,,,,,,,,,,,,65.0,NECANICUM R,-,-,-,-,-,4,-,24,13,-,20,-
66,,,,,,,,,,,,,,,66.0,NEHALEM R & BAY BELOW HWY26/ELSIE,215,952,124,"1,475",659,795,"4,784",829,"1,006",410,143,-
67,,,,,,,,,,,,,,,67.0,N FK NEHALEM,63,46,127,66,4,258,506,65,363,151,20,-
68,,,,,,,,,,,,,,,68.0,MUNSEL L,-,-,-,-,-,-,-,-,6,-,-,-
69,,,,,,,,,,,,,,,69.0,NESTUCCA R & BAY,12,15,11,338,46,80,571,142,104,50,41,-
70,,,,,,,,,,,,,,,70.0,LITTLE NESTUCCA,-,-,-,-,-,-,-,6,-,-,-,-
71,,,,,,,,,,,,,,,71.0,PISTOL R,-,-,-,-,-,-,-,-,-,-,-,-
72,,,,,,,,,,,,,,,72.0,ROCK CR (LANE CO),-,-,-,-,-,-,-,6,-,-,-,-
73,,,,,,,,,,,,,,,73.0,ROCK CR (NEHALEM),-,-,-,-,-,-,5,-,-,-,-,-
74,,,,,,,,,,,,,,,74.0,ROCK CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-
75,,,,,,,,,,,,,,,75.0,SOAPSTONE CR,-,-,-,-,-,-,-,-,-,-,-,-
76,,,,,,,,,,,,,,,76.0,LOWER ROGUE RIVER & BAY,-,-,-,-,-,-,-,6,-,-,-,-
77,,,,,,,,,,,,,,,77.0,SALMON R (COAST),892,77,25,42,50,49,100,36,39,69,20,-
78,,,,,,,,,,,,,,,78.0,SALMONBERRY R,-,-,-,-,-,-,-,-,-,-,-,-
79,,,,,,,,,,,,,,,79.0,SAND LAKE,-,-,-,-,-,-,-,-,-,-,-,-
80,,,,,,,,,,,,,,,80.0,SCHOONER CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-
81,,,,,,,,,,,,,,,81.0,SILETZ R & BAY,-,42,255,750,292,426,"2,705",770,58,50,51,-
82,,,,,,,,,,,,,,,82.0,N FK SILETZ,-,-,-,-,-,-,-,12,-,-,-,-
83,,,,,,,,,,,,,,,83.0,S FK SILETZ,-,-,-,-,-,-,-,6,-,-,-,-
84,,,,,,,,,,,,,,,84.0,SILTCOOS R & LK,653,580,881,"1,032","1,118",981,"1,728",444,948,688,358,-
85,,,,,,,,,,,,,,,85.0,SIUSLAW R & BAY,94,73,81,"1,248","1,168","2,527","8,410","2,439",78,303,174,-
86,,,,,,,,,,,,,,,86.0,N FK SIUSLAW,-,-,-,-,-,9,10,6,-,-,-,-
87,,,,,,,,,,,,,,,87.0,SIXES R,4,23,7,3,-,4,25,12,-,-,-,-
88,,,,,,,,,,,,,,,88.0,SLICK ROCK CR (SALMON R),-,-,-,-,-,-,-,6,-,6,-,-
89,,,,,,,,,,,,,,,89.0,SMITH R,-,-,-,10,-,4,30,24,-,19,10,-
90,,,,,,,,,,,,,,,90.0,N FK SMITH,-,-,-,-,-,-,-,-,6,-,-,-
91,,,,,,,,,,,,,,,91.0,SUTTON CR & LK,-,-,-,-,-,-,10,12,-,6,-,-
92,,,,,,,,,,,,,,,92.0,SWEET CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
93,,,,,,,,,,,,,,,93.0,TAHKENITCH CR & LK,153,173,318,105,434,369,501,213,260,202,266,-
94,,,,,,,,,,,,,,,94.0,TENMILE CR & LK (COOS CO),-,-,-,-,17,84,426,6,-,50,31,-
95,,,,,,,,,,,,,,,95.0,TENMILE CR (LANE CO),-,-,-,-,-,-,130,18,32,19,20,-
96,,,,,,,,,,,,,,,96.0,THREE R,-,-,-,-,-,-,-,12,52,13,-,-
97,,,,,,,,,,,,,,,97.0,TILLAMOOK BAY,258,495,361,858,271,524,"2,625","1,048",961,316,112,-
98,,,,,,,,,,,,,,,98.0,TILLAMOOK R,35,12,14,35,29,62,65,12,13,13,-,-
99,,,,,,,,,,,,,,,99.0,TRASK R,59,42,35,70,21,89,255,83,149,32,10,-
100,,,,,,,,,,,,,,,100.0,N FK TRASK,-,-,-,-,-,-,-,6,-,-,-,-
101,,,,,,,,,,,,,,,101.0,S FK TRASK,-,-,-,-,-,-,-,12,-,-,-,-
102,,,,,,,,,,,,,,,102.0,UMPQUA R & BAY,"1,244","1,305",969,"1,841","1,906","1,838","4,067","4,074",591,"2,316","1,686",-
103,,,,,,,,,,,,,,,103.0,N FK UMPQUA BELOW WINCHESTERDAM,4,54,7,3,-,9,20,-,19,19,20,-
104,,,,,,,,,,,,,,,104.0,S FK UMPQUA,8,4,4,45,21,4,15,24,-,6,31,-
105.0,,,,,,,,,,,,,,,105.0,WILSON R,16,50,21,31,33,58,115,24,6,13,-,-
106.0,,,,,,,,,,,,,,,106.0,S FK. WILSON R.,-,-,-,-,-,-,-,12,-,-,10,-
107.0,,,,,,,,,,,,,,,107.0,LITTLE N FK (WILSON),-,-,-,-,-,-,-,18,-,-,-,-
108.0,,,,,,,,,,,,,,,108.0,WINCHUCK R,-,-,-,-,-,-,5,-,13,6,-,-
109.0,,,,,,,,,,,,,,,109.0,WOAHINK LK,-,-,-,-,-,-,5,-,-,-,-,-
110.0,,,,,,,,,,,,,,,110.0,YACHATS R,-,-,-,-,-,-,-,12,6,-,-,-
111.0,,,,,,,,,,,,,,,111.0,YAQUINA R & BAY,35,818,42,934,405,631,"2,535",705,19,13,-,-
194.0,,,,,,,,,,,,,,,194.0,TIOGA CR,-,-,-,-,-,-,-,-,-,-,-,-
201.0,,,,,,,,,,,,,,,201.0,N FK UMPQUA-WINCHESTER DAM TOROCK CR,12,69,18,14,42,4,20,30,19,6,-,-
204.0,,,,,,,,,,,,,,,204.0,NEHALEM R ABOVE HWY 26/ELSIE,-,23,4,7,-,13,10,-,-,19,10,-
206.0,,,,,,,,,,,,,,,206.0,CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
207.0,,,,,,,,,,,,,,,207.0,LITTLE R (N UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
219.0,,,,,,,,,,,,,,,219.0,N FK UMPQUA FROM ROCK CR TOSODA SPR (FLY AREA),12,27,4,3,-,-,35,30,-,-,10,-
224.0,,,,,,,,,,,,,,,224.0,NESKOWIN CR,-,-,-,-,-,4,5,30,-,-,-,-
225.0,,,,,,,,,,,,,,,225.0,ROGUE BAY UP TO ELEPHANT ROCK,239,326,212,296,304,266,276,616,324,309,225,-
226.0,,,,,,,,,,,,,,,226.0,ROGUE R FROM ELEPHANT ROCK TOGRAVE CR,47,46,60,105,42,98,30,65,32,120,51,-
227.0,,,,,,,,,,,,,,,227.0,ROGUE R FROM GRAVE CR TO GOLDRAY DAM,16,15,18,17,29,22,25,30,39,25,41,-
228.0,,,,,,,,,,,,,,,228.0,ROGUE R ABOVE GOLD RAY DAM,12,4,42,31,58,49,95,41,39,44,20,-
240.0,,,,,,,,,,,,,,,240.0,ISTHMUS SLOUGH,16,-,4,21,17,4,20,-,6,19,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Columbia River and Tributaries,,,,,,,,,,,,
112.0,,,,,,,,,,,,,,,112.0,ABERNATHY CR (CLACK R),-,-,-,-,-,4,5,18,6,13,10,-
113.0,,,,,,,,,,,,,,,113.0,ABIQUA CR (PUDDING R),-,-,-,-,-,-,-,12,-,-,41,-
114.0,,,,,,,,,,,,,,,114.0,BEAR CR (CLATSOP CO),4,-,-,-,-,-,-,-,-,6,-,-
115.0,,,,,,,,,,,,,,,115.0,BEAVER CR (COL CO),-,-,-,-,-,-,-,-,-,-,-,-
116.0,,,,,,,,,,,,,,,116.0,BIG CR (CLATSOP CO),258,372,184,94,46,120,601,130,71,88,123,-
117.0,,,,,,,,,,,,,,,117.0,BULLRUN R,-,-,-,-,-,-,-,-,-,-,-,-
118.0,,,,,,,,,,,,,,,118.0,BUTTE CR (PUDDING R),-,-,-,-,-,-,-,12,-,-,-,-
119.0,,,,,,,,,,,,,,,119.0,CALAPOOIA R,-,-,-,-,-,-,5,-,-,-,-,-
120.0,,,,,,,,,,,,,,,120.0,CATHERINE CR,-,-,-,-,-,-,-,-,-,-,-,-
121.0,,,,,,,,,,,,,,,121.0,CHENOWETH CR,-,-,-,-,-,-,-,6,6,6,-,-
122.0,,,,,,,,,,,,,,,122.0,CLACKAMAS R BELOW CARVERBRIDGE,"1,447","1,712",350,143,63,222,"1,678",89,117,240,317,-
123.0,,,,,,,,,,,,,,,123.0,CLATSKANIE R,12,4,18,-,-,-,5,6,-,-,-,-
124.0,,,,,,,,,,,,,,,124.0,CLEAR CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
125.0,,,,,,,,,,,,,,,125.0,COLLOWASH RIVER,-,-,-,-,-,-,-,6,-,-,-,-
126.0,,,,,,,,,,,,,,,126.0,HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,-,-,-,-,-
127.0,,,,,,,,,,,,,,,127.0,LOWER COLUMBIA RIVER,-,-,-,-,-,-,-,-,-,-,-,-
128.0,,,,,,,,,,,,,,,128.0,UPPER COLUMBIA RIVER,-,-,-,-,-,-,-,-,-,-,-,-
129.0,,,,,,,,,,,,,,,129.0,CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
130,,,,,,,,,,,,,,,130.0,DEEP CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
131,,,,,,,,,,,,,,,131.0,DESCHUTES R BELOW SHERARSFALLS,12,8,32,31,75,80,125,71,52,114,112,-
132,,,,,,,,,,,,,,,132.0,EAGLE CR (CLACK R),"1,103","1,144",509,87,13,200,"1,678",172,279,341,112,-
133,,,,,,,,,,,,,,,133.0,EAGLE CR (COLUMBIA R),31,-,32,-,-,4,-,-,6,6,-,-
134,,,,,,,,,,,,,,,134.0,FALL CR (WILLAMETTE R),-,-,-,-,-,-,-,-,-,-,-,-
135,,,,,,,,,,,,,,,135.0,FIFTEEN MILE CR,-,-,-,-,-,-,-,-,6,-,-,-
136,,,,,,,,,,,,,,,136.0,FOSTER RESERVOIR,-,-,-,-,-,-,-,6,6,-,10,-
137,,,,,,,,,,,,,,,137.0,GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
138,,,,,,,,,,,,,,,138.0,GNAT CR,8,-,11,7,-,13,35,24,19,-,10,-
139,,,,,,,,,,,,,,,139.0,MOSBY CR. (WILL R CST FK),-,-,-,-,-,-,-,-,-,-,-,-
140,,,,,,,,,,,,,,,140.0,HERMAN CR (COL R),23,92,46,3,8,4,80,53,6,13,-,-
141,,,,,,,,,,,,,,,141.0,LOST CR (WILL R MID FK),-,-,-,-,-,-,-,-,-,-,-,-
142,,,,,,,,,,,,,,,142.0,E FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
143,,,,,,,,,,,,,,,143.0,W FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
144,,,,,,,,,,,,,,,144.0,IMNAHA R,-,-,-,-,-,-,-,6,-,-,-,-
145,,,,,,,,,,,,,,,145.0,JOHN DAY R,-,-,-,-,-,-,-,-,-,6,-,-
146,,,,,,,,,,,,,,,146.0,MID FK JOHN DAY,-,-,-,-,-,-,15,-,-,6,-,-
147,,,,,,,,,,,,,,,147.0,N FK JOHN DAY,-,-,-,-,-,-,-,-,-,-,-,-
148,,,,,,,,,,,,,,,148.0,JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
149,,,,,,,,,,,,,,,149.0,BIG SHEEP CR-MOUTH TO LITTLESHEEP CR,-,-,-,-,-,-,-,-,-,-,-,-
150,,,,,,,,,,,,,,,150.0,KNAPPA/BLIND SLOUGHS,-,-,-,10,4,4,110,36,19,189,-,-
151,,,,,,,,,,,,,,,151.0,KLASKANINE R,31,23,18,42,29,-,55,107,19,25,20,-
152,,,,,,,,,,,,,,,152.0,N FK KLASKANINE,-,4,4,10,-,13,15,36,6,6,10,-
153,,,,,,,,,,,,,,,153.0,S FK KLASKANINE,-,-,-,-,-,-,105,-,-,-,-,-
154,,,,,,,,,,,,,,,154.0,LEWIS & CLARK R,-,-,7,3,4,-,25,65,-,25,-,-
155,,,,,,,,,,,,,,,155.0,MCKENZIE R (BELOW LEABURG DAM),-,-,-,-,-,-,-,12,-,-,-,-
156,,,,,,,,,,,,,,,156.0,LUCKIAMUTE & LITTLE LUCKIAMUTER,-,-,-,-,-,-,-,-,-,-,-,-
157,,,,,,,,,,,,,,,157.0,MARYS R,-,-,-,-,-,-,-,-,-,-,-,-
158,,,,,,,,,,,,,,,158.0,MCKENZIE R (ABOVE LEABURG DAM),-,-,-,-,-,-,-,-,-,-,-,-
159,,,,,,,,,,,,,,,159.0,MILL CR (MARION CO),-,-,-,-,-,-,-,-,-,-,-,-
160,,,,,,,,,,,,,,,160.0,MILL CR (WASCO CO),-,-,-,-,-,-,-,-,-,-,-,-
161,,,,,,,,,,,,,,,161.0,MILL CR (YAMHILL CO),-,-,-,-,-,-,-,6,-,-,-,-
162,,,,,,,,,,,,,,,162.0,MILTON CR (COL CO),8,-,-,-,-,-,-,-,-,-,10,-
163,,,,,,,,,,,,,,,163.0,MINAM RIVER,-,-,-,-,-,-,-,-,-,-,-,-
164,,,,,,,,,,,,,,,164.0,MOLALLA R,-,-,-,-,-,13,-,-,13,-,-,-
165,,,,,,,,,,,,,,,165.0,RICKREALL CR,-,-,21,3,4,-,5,-,32,6,-,-
166,,,,,,,,,,,,,,,166.0,PUDDING R,-,-,-,-,-,-,-,-,6,-,-,-
167,,,,,,,,,,,,,,,167.0,SALMON R (SANDY R),12,-,-,-,-,-,-,-,6,-,10,-
168,,,,,,,,,,,,,,,168.0,SANDY R FROM MOUTH TO REVENUEBRIDGE,"7,000","5,167","3,951","1,572",271,644,"3,852",853,740,915,450,-
169,,,,,,,,,,,,,,,169.0,SANTIAM R,-,-,-,-,-,-,10,-,6,-,-,-
170,,,,,,,,,,,,,,,170.0,N FK SANTIAM,-,-,7,-,25,80,70,18,6,-,-,-
171,,,,,,,,,,,,,,,171.0,LITTLE N FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
172,,,,,,,,,,,,,,,172.0,S FK SANTIAM,-,-,-,-,-,-,-,6,-,13,20,-
173,,,,,,,,,,,,,,,173.0,SCAPPOOSE CR,-,-,-,-,-,-,-,-,-,-,-,-
174,,,,,,,,,,,,,,,174.0,N FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
175,,,,,,,,,,,,,,,175.0,S FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
176,,,,,,,,,,,,,,,176.0,SNAKE R,-,-,-,-,-,-,-,-,-,-,-,-
177,,,,,,,,,,,,,,,177.0,SUCKER CR,-,-,-,-,-,-,-,-,-,-,-,-
178,,,,,,,,,,,,,,,178.0,TANNER CR,-,-,-,-,-,-,-,6,6,-,-,-
179,,,,,,,,,,,,,,,179.0,THOMAS CR (SANT),-,-,-,-,-,-,-,-,-,-,-,-
180,,,,,,,,,,,,,,,180.0,TUALATIN R,-,8,-,-,-,-,5,-,6,-,-,-
181,,,,,,,,,,,,,,,181.0,UMATILLA R,-,-,-,-,-,-,20,-,-,-,-,-
182,,,,,,,,,,,,,,,182.0,WALLA WALLA R,-,-,-,-,-,-,-,6,-,19,-,-
183,,,,,,,,,,,,,,,183.0,SPRINGFIELD MILL RACE,-,-,-,-,-,-,-,-,-,-,-,-
184,,,,,,,,,,,,,,,184.0,WENAHA R,-,-,-,-,-,-,-,-,-,-,-,-
185,,,,,,,,,,,,,,,185.0,WILLAMETTE R & SLOUGH BELOW ORCITY FLLS,168,173,74,126,54,40,411,77,84,183,20,-
186,,,,,,,,,,,,,,,186.0,WILLAMETTE R ABOVE OR CITYFALLS,301,514,318,443,455,435,661,201,97,259,521,-
187,,,,,,,,,,,,,,,187.0,ALTON BAKER CANOE CANAL,-,-,-,-,-,-,-,-,-,6,-,-
188,,,,,,,,,,,,,,,188.0,MID FK WILL,-,-,-,-,-,-,10,-,13,-,-,-
189,,,,,,,,,,,,,,,189.0,WILLAMINA CR,-,-,-,-,-,-,-,-,-,-,-,-
190,,,,,,,,,,,,,,,190.0,YAMHILL R,-,-,-,-,-,18,-,18,-,13,-,-
191,,,,,,,,,,,,,,,191.0,N FK YAMHILL,-,-,-,-,-,9,-,-,-,-,-,-
192,,,,,,,,,,,,,,,192.0,S FK YAMHILL,-,-,-,-,-,-,-,-,-,6,-,-
193,,,,,,,,,,,,,,,193.0,YOUNGS R & BAY,-,19,32,42,13,31,25,65,97,-,-,-
195,,,,,,,,,,,,,,,195.0,SILVER CR,-,-,-,-,-,-,-,-,-,-,-,-
196,,,,,,,,,,,,,,,196.0,PLYMPTON CR,-,-,-,-,-,-,-,-,-,-,-,-
200,,,,,,,,,,,,,,,200.0,UPPER ROGUE RIVER,-,-,-,-,-,-,-,-,-,-,-,-
202,,,,,,,,,,,,,,,202.0,CLACKAMAS R SYSTEM ABOVE NOFK DAM,-,4,-,-,-,-,-,-,-,-,-,-
203,,,,,,,,,,,,,,,203.0,DESCHUTES R ABOVE SHERARSFALLS,-,-,-,-,-,-,-,-,-,6,-,-
205,,,,,,,,,,,,,,,205.0,SANDY R FROM REVENUE BRIDGE TOSALMON R,-,-,127,21,8,4,120,65,45,38,61,-
208,,,,,,,,,,,,,,,208.0,JOHN DAY ARM,-,-,-,-,-,-,-,-,-,-,-,-
209,,,,,,,,,,,,,,,209.0,L FALL CR (WILLAMETTE),-,-,-,-,-,-,-,-,-,6,-,-
210,,,,,,,,,,,,,,,210.0,COAST FK WILL,-,-,-,-,-,-,40,24,52,88,10,-
211,,,,,,,,,,,,,,,211.0,COLUMBIA R--BUOY 10 TO TONGUEPT,"4,790","33,370","6,762","6,439","5,513","6,474","49,691","28,420","6,444","12,350","4,383",-
212,,,,,,,,,,,,,,,212.0,COLUMBIA R--TONGUE PT TOLONGVIEW BRIDGE,508,"1,424",513,704,530,502,"2,600",657,324,511,327,-
213,,,,,,,,,,,,,,,213.0,COLUMBIA R--LONGVIEW BRIDGE TOI-5 BRIDGE,571,979,573,506,175,222,"1,873",580,370,972,225,-
214,,,,,,,,,,,,,,,214.0,COLUMBIA R--I-5 BRIDGE TOBONNEVILLE DAM,946,"1,271",499,492,196,315,"1,703",486,214,694,82,-
215,,,,,,,,,,,,,,,215.0,COLUMBIA R--BONNEVILLE DAM TOTHE DALLES DAM,"1,048","1,885","1,047",854,676,"1,554","3,526",296,435,"1,281",10,-
216,,,,,,,,,,,,,,,216.0,COLUMBIA R--THE DALLES DAM TOJOHN DAY DAM,215,234,170,683,238,222,686,201,305,240,51,-
217,,,,,,,,,,,,,,,217.0,COLUMBIA R--JOHN DAY DAM TOMCNARY DAM,168,591,124,185,142,155,521,278,435,265,41,-
218,,,,,,,,,,,,,,,218.0,COLUMBIA R--MCNARY DAM TOSTATELINE,16,81,18,35,25,22,175,59,26,38,-,-
220,,,,,,,,,,,,,,,220.0,LONG TOM,-,-,-,-,-,-,-,-,-,-,-,-
221,,,,,,,,,,,,,,,221.0,ROW R,-,-,-,-,-,-,5,12,6,-,-,-
222,,,,,,,,,,,,,,,222.0,WILEY CR (S SANTIAM),-,-,-,-,-,-,-,-,-,-,-,-
223,,,,,,,,,,,,,,,223.0,BLUE R (MCKENZIE),-,-,-,-,-,-,-,-,-,-,-,-
229,,,,,,,,,,,,,,,229.0,HOOD R,-,8,18,-,-,4,5,6,-,-,-,-
230,,,,,,,,,,,,,,,230.0,HOOD R ABOVE POWERDALE DAM,4,42,4,-,-,-,-,-,-,-,-,-
231,,,,,,,,,,,,,,,231.0,GRANDE RONDE R FROM STATELINETO WILDCAT BRIDGE,-,-,-,-,-,-,-,6,6,-,-,-
232,,,,,,,,,,,,,,,232.0,GRANDE RONDE R FROM WILDCATBRIDGE TO ISLAND CITY BRIDGE,-,-,-,-,-,-,-,-,-,-,20,-
233,,,,,,,,,,,,,,,233.0,GRANDE RONDE R ABOVE ISLANDCITY BRIDGE,-,-,-,-,-,-,-,-,-,-,-,-
234,,,,,,,,,,,,,,,234.0,WALLOWA R MOUTH TO MINAMSTATE PARK,-,-,-,-,-,-,-,-,-,19,-,-
235,,,,,,,,,,,,,,,235.0,WALLOWA R ABOVE MINAM STATEPARK,-,-,-,-,-,-,-,6,19,6,-,-
236,,,,,,,,,,,,,,,236.0,UMATILLA R BELOW THREE-MILEDAM,461,656,88,254,150,191,"1,493",213,136,202,143,-
237,,,,,,,,,,,,,,,237.0,UMATILLA R ABOVE NOLIN,109,123,28,14,13,4,20,-,-,19,-,-
238,,,,,,,,,,,,,,,238.0,JOHN DAY R BELOW COTTONWOODBRIDGE,-,19,-,-,-,22,-,-,19,-,20,-
239,,,,,,,,,,,,,,,239.0,JOHN DAY R ABOVE COTTONWOODBRIDGE,-,-,-,-,-,-,-,12,-,-,10,-
241,,,,,,,,,,,,,,,241.0,LOOKINGGLASS CR,-,-,-,-,-,-,-,-,-,-,10,-
242,,,,,,,,,,,,,,,242.0,POWDER R,-,-,-,-,-,-,-,-,-,-,-,-
243,,,,,,,,,,,,,,,243.0,UMATILLA R THREE-MILE DAM TONOLIN,8,54,39,35,4,18,35,12,6,6,-,-
244,,,,,,,,,,,,,,,244.0,SANDY R ABOVE SALMON R,-,-,-,-,-,-,-,18,-,-,-,-
245,,,,,,,,,,,,,,,245.0,CLACK R.-CARVER BR. TO BAKERSFERRY RD,-,-,-,35,67,18,286,101,58,278,204,-
246,,,,,,,,,,,,,,,246.0,CLACK R-BAKERS FERRY RD TO RVRMILL DAM,-,-,4,21,79,31,"1,057",178,71,259,153,-
247,,,,,,,,,,,,,,,247.0,CLACK R-RIVER MILL DAM TOCAZADERO DAM,-,-,-,-,-,-,-,12,13,-,41,-
250,,,,,,,,,,,,,,,250.0,JOHN DAY R (CLATSOP CTY),-,-,-,-,-,-,-,-,19,-,-,-
