210,COAST FK WILL,0,0,0,0,0,0,0,0,0,0,0,0,0
211,BRIDGE,2146,2155,6745,1397,3284,-,-,-,-,-,-,-,-
211,COLUMBIA R--BUOY 10 TO TONGUE PT,-,-,-,-,-,8322,51501,2816,23036,7834,3758,2501,5379
212,LONGVIEW BRIDGE,Unnamed: 0,-0.1,-0.2,-0.3,-0.4,785,3395,893,2026,707,405,500,310
213,5 BRIDGE,45,79,110,164,409,463,797,654,431,304,380,361,316
214,BONNEVILLE DAM,49,95,177,90,283,685,1051,1333,451,284,362,641,479
215,THE DALLES DAM,59,334,200,215,297,1092,619,1003,501,1062,524,807,1100
216,JOHN DAY DAM,3,13,32,41,50,66,122,84,106,108,98,163,239
217,MCNARY DAM,24,63,32,47,62,78,190,116,215,106,118,165,77
218,STATELINE,3,3,0,0,9,3,12,24,9,3,96,18,27
220,LONG TOM,0,0,0,0,0,0,0,0,0,0,0,0,0
221,ROW R,0,0,0,0,0,0,0,0,0,0,0,0,0
222,WILEY CR (S SANTIAM),0,0,0,0,0,0,0,0,0,0,0,0,0
223,BLUE R (MCKENZIE),0,0,0,0,0,0,0,0,0,0,0,0,0
229,HOOD R MOUTH TO POWERDALE DAM,0,0,5,15,3,7,39,0,3,6,0,7,4
230,HOOD R ABOVE POWERDALE DAM,0,0,0,0,0,3,0,0,0,0,0,0,4
231,TO WILDCAT BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0
232,BRIDGE TO ISLAND CITY BR,0,0,0,0,0,0,0,0,0,0,0,0,0
233,BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0
234,PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
235,PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
236,UMATILLA R BELOW THREE-MILE DAM,0,14,11,12,73,81,628,133,530,349,404,365,159
237,UMATILLA R ABOVE NOLIN,0,0,0,0,0,0,125,14,62,74,11,0,4
238,BRIDGE,0,0,0,0,3,7,6,0,0,0,0,39,4
239,BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0
241,LOOKINGGLASS CR,0,0,0,0,0,0,0,0,0,0,0,0,0
242,POWDER R,0,0,0,0,0,0,0,0,0,0,0,0,0
